company_id,cluster_id,cluster_name,distance_from_centroid
ABB,4,Emerging Growth,0.3333
ADANIENSOL,0,High-Quality Compounders,0.7195
ADANIENT,0,High-Quality Compounders,0.3781
ADANIGREEN,1,Defensive Dividend Payers,2.4627
ADANIPORTS,3,Distressed or Turnaround,1.1363
ADANIPOWER,0,High-Quality Compounders,0.7614
AMBUJACEM,4,Emerging Growth,0.572
APOLLOHOSP,0,High-Quality Compounders,0.8008
ASIANPAINT,4,Emerging Growth,0.6859
ATGL,0,High-Quality Compounders,0.4481
AXISBANK,1,Defensive Dividend Payers,0.9643
BAJAJ-AUTO,4,Emerging Growth,0.1488
BAJAJFINSV,0,High-Quality Compounders,1.2902
BAJAJHLDNG,3,Distressed or Turnaround,2.4508
BAJFINANCE,0,High-Quality Compounders,1.0725
BANKBARODA,1,Defensive Dividend Payers,1.5034
BEL,2,Value Cyclicals,0.7605
BHARTIARTL,3,Distressed or Turnaround,1.2711
BHEL,4,Emerging Growth,1.8608
BOSCHLTD,4,Emerging Growth,0.3667
BPCL,4,Emerging Growth,0.3742
BRITANNIA,4,Emerging Growth,0.0996
CANBK,1,Defensive Dividend Payers,2.3434
CHOLAFIN,1,Defensive Dividend Payers,1.2514
CIPLA,3,Distressed or Turnaround,0.6902
COALINDIA,3,Distressed or Turnaround,1.0735
DABUR,4,Emerging Growth,0.1303
DIVISLAB,4,Emerging Growth,0.4148
DLF,4,Emerging Growth,1.8819
DMART,0,High-Quality Compounders,0.7369
DRREDDY,4,Emerging Growth,0.7104
EICHERMOT,4,Emerging Growth,0.4931
GAIL,4,Emerging Growth,0.6078
GODREJCP,4,Emerging Growth,0.2505
GRASIM,4,Emerging Growth,0.5587
HAL,2,Value Cyclicals,0.7605
HAVELLS,4,Emerging Growth,0.7745
HCLTECH,4,Emerging Growth,0.6493
HDFCBANK,1,Defensive Dividend Payers,0.7336
HDFCLIFE,3,Distressed or Turnaround,1.2124
HEROMOTOCO,3,Distressed or Turnaround,1.6485
HINDALCO,3,Distressed or Turnaround,0.5616
HINDUNILVR,3,Distressed or Turnaround,0.6823
ICICIBANK,1,Defensive Dividend Payers,0.7408
ICICIGI,3,Distressed or Turnaround,0.373
ICICIPRULI,3,Distressed or Turnaround,0.8907
INDIGO,3,Distressed or Turnaround,1.5141
INDUSINDBK,1,Defensive Dividend Payers,0.9471
INFY,4,Emerging Growth,0.7236
IOC,4,Emerging Growth,0.3739
IRCTC,0,High-Quality Compounders,0.7392
IRFC,1,Defensive Dividend Payers,1.5834
ITC,4,Emerging Growth,0.6605
JINDALSTEL,4,Emerging Growth,0.9192
JIOFIN,3,Distressed or Turnaround,0.5376
JSWENERGY,4,Emerging Growth,1.1619
JSWSTEEL,0,High-Quality Compounders,0.601
KOTAKBANK,3,Distressed or Turnaround,1.1857
LICI,4,Emerging Growth,0.6066
LODHA,4,Emerging Growth,1.5136
LT,4,Emerging Growth,0.4117
LTIM,0,High-Quality Compounders,1.5555
M&M,4,Emerging Growth,0.5153
MARUTI,4,Emerging Growth,0.4402
MOTHERSON,4,Emerging Growth,0.4155
NAUKRI,0,High-Quality Compounders,0.6752
NESTLEIND,0,High-Quality Compounders,0.8687
NHPC,4,Emerging Growth,1.4466
NTPC,4,Emerging Growth,0.7406
ONGC,4,Emerging Growth,0.1745
PFC,1,Defensive Dividend Payers,1.2681
PIDILITIND,4,Emerging Growth,0.5376
PNB,0,High-Quality Compounders,1.1361
POWERGRID,3,Distressed or Turnaround,1.2147
RECLTD,1,Defensive Dividend Payers,1.913
RELIANCE,4,Emerging Growth,0.2145
SBILIFE,0,High-Quality Compounders,1.1473
SBIN,4,Emerging Growth,1.9032
SHREECEM,4,Emerging Growth,0.3456
SHRIRAMFIN,0,High-Quality Compounders,0.9171
SIEMENS,4,Emerging Growth,0.4979
SUNPHARMA,4,Emerging Growth,0.4751
TATACONSUM,0,High-Quality Compounders,0.7223
TATAMOTORS,4,Emerging Growth,0.3571
TATAPOWER,0,High-Quality Compounders,0.5828
TATASTEEL,4,Emerging Growth,0.4045
TCS,4,Emerging Growth,0.4376
TECHM,4,Emerging Growth,0.429
TITAN,0,High-Quality Compounders,0.4563
TORNTPHARM,4,Emerging Growth,0.4619
TRENT,0,High-Quality Compounders,2.3257
TVSMOTOR,0,High-Quality Compounders,1.1324
