company_id,metric_type,original_value,failure_reason
SBILIFE,compounded_sales_growth,TTM:            43%,Regex match failed for pattern 'TTM:            43%'
SBILIFE,compounded_profit_growth,TTM:                 18%,Regex match failed for pattern 'TTM:                 18%'
SBILIFE,roe,Last Year:      12%,Regex match failed for pattern 'Last Year:      12%'
TCS,compounded_sales_growth,TTM:            5%             ,Regex match failed for pattern 'TTM:            5%'
TCS,compounded_profit_growth,TTM:                 8%,Regex match failed for pattern 'TTM:                 8%'
TCS,roe,Last Year:       52%,Regex match failed for pattern 'Last Year:       52%'
WIPRO,compounded_sales_growth,TTM:           -3%,Regex match failed for pattern 'TTM:           -3%'
WIPRO,compounded_profit_growth,TTM:                 1%,Regex match failed for pattern 'TTM:                 1%'
WIPRO,roe,Last Year:       14%,Regex match failed for pattern 'Last Year:       14%'
HDFCBANK,compounded_sales_growth,TTM:            47%,Regex match failed for pattern 'TTM:            47%'
HDFCBANK,compounded_profit_growth,TTM:                27%,Regex match failed for pattern 'TTM:                27%'
HDFCBANK,roe,Last Year:    17%,Regex match failed for pattern 'Last Year:    17%'
INFY,compounded_sales_growth,TTM:            3%,Regex match failed for pattern 'TTM:            3%'
INFY,compounded_profit_growth,TTM:                 8%,Regex match failed for pattern 'TTM:                 8%'
INFY,roe,Last Year:     32%,Regex match failed for pattern 'Last Year:     32%'
