company_id,previous_year,previous_pattern,latest_year,latest_pattern,change_flag
ABB,2023,Reinvestor,2024,Shareholder Returns,True
ADANIENSOL,2023,Mixed,2024,Shareholder Returns,True
ADANIENT,2023,Shareholder Returns,2024,Mixed,True
ADANIGREEN,2023,Shareholder Returns,2024,Mixed,True
ASIANPAINT,2023,Reinvestor,2024,Shareholder Returns,True
AXISBANK,2023,Mixed,2024,Growth Funded by Debt,True
BAJAJ-AUTO,2023,Liquidating Assets,2024,Reinvestor,True
BANKBARODA,2023,Pre-Revenue,2024,Growth Funded by Debt,True
BEL,2023,Liquidating Assets,2024,Shareholder Returns,True
BRITANNIA,2023,Shareholder Returns,2024,Liquidating Assets,True
CANBK,2023,Growth Funded by Debt,2024,Reinvestor,True
CIPLA,2023,Shareholder Returns,2024,Reinvestor,True
COALINDIA,2023,Shareholder Returns,2024,Reinvestor,True
DABUR,2023,Reinvestor,2024,Shareholder Returns,True
DIVISLAB,2023,Shareholder Returns,2024,Reinvestor,True
DLF,2023,Shareholder Returns,2024,Mixed,True
DRREDDY,2023,Shareholder Returns,2024,Reinvestor,True
GAIL,2023,Mixed,2024,Shareholder Returns,True
GODREJCP,2023,Shareholder Returns,2024,Mixed,True
HAVELLS,2023,Liquidating Assets,2024,Shareholder Returns,True
HDFCBANK,2023,Mixed,2024,Liquidating Assets,True
HDFCLIFE,2023,Mixed,2024,Shareholder Returns,True
HEROMOTOCO,2023,Reinvestor,2024,Shareholder Returns,True
HINDUNILVR,2023,Reinvestor,2024,Shareholder Returns,True
ICICIBANK,2023,Growth Funded by Debt,2024,Mixed,True
ICICIPRULI,2023,Reinvestor,2024,Distress Signal,True
INDIGO,2023,Reinvestor,2024,Shareholder Returns,True
INDUSINDBK,2023,Growth Funded by Debt,2024,Pre-Revenue,True
IRFC,2023,Distress Signal,2024,Shareholder Returns,True
ITC,2023,Reinvestor,2024,Liquidating Assets,True
JINDALSTEL,2023,Shareholder Returns,2024,Mixed,True
JIOFIN,2023,Shareholder Returns,2024,Distress Signal,True
KOTAKBANK,2023,Growth Funded by Debt,2024,Mixed,True
LICI,2023,Shareholder Returns,2024,Reinvestor,True
LODHA,2023,Liquidating Assets,2024,Mixed,True
LT,2023,Shareholder Returns,2024,Liquidating Assets,True
LTIM,2023,Reinvestor,2024,Shareholder Returns,True
MOTHERSON,2023,Shareholder Returns,2024,Mixed,True
PNB,2023,Mixed,2024,Growth Funded by Debt,True
RELIANCE,2023,Mixed,2024,Shareholder Returns,True
SBIN,2023,Growth Funded by Debt,2024,Reinvestor,True
SHRIRAMFIN,2023,Distress Signal,2024,Growth Funded by Debt,True
SUNPHARMA,2023,Mixed,2024,Shareholder Returns,True
TATACONSUM,2023,Shareholder Returns,2024,Mixed,True
TATAPOWER,2023,Mixed,2024,Shareholder Returns,True
TATASTEEL,2023,Shareholder Returns,2024,Reinvestor,True
TITAN,2023,Mixed,2024,Reinvestor,True
TORNTPHARM,2023,Mixed,2024,Shareholder Returns,True
TRENT,2023,Shareholder Returns,2024,Reinvestor,True
