metric,count,mean,std,p10,p25,p50,p75,p90
return_on_equity_pct,91,123.9,637.14,8.37,11.67,16.72,26.01,48.28
roce_pct,69,232.86,952.16,11.09,16.45,25.1,38.81,108.24
debt_to_equity,91,1.67,2.86,0.01,0.06,0.43,1.59,6.45
interest_coverage,91,126.13,485.94,1.61,3.18,11.36,58.09,192.29
operating_profit_margin_pct,91,34.67,27.51,9.84,16.01,25.83,40.15,84.04
net_profit_margin_pct,92,20.02,45.18,4.62,7.25,14.21,20.35,29.25
asset_turnover,91,3.5,15.85,0.07,0.21,0.68,1.13,1.66
free_cash_flow_cr,91,897.92,23254.51,-14556.0,-1315.0,1095.0,8447.0,20445.0
revenue_cagr_5yr,91,12.95,7.38,5.84,8.44,11.84,17.18,21.09
pat_cagr_5yr,84,21.11,21.55,4.36,9.86,16.28,23.78,39.28
