company_id,company_name,sector,P/E,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
ABB,Abbott India Ltd,Industrials,75.58,0.051880041574855706,60.485,160.27992789735976,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,-4.180016339930263,47.335,44.01285046728972,Discount
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,-3.2317922805711454,50.870000000000005,202.10280373831776,Caution
BANKBARODA,Bank of Baroda,Financials,16.89,-1.279081332956056,51.62,49.32827102803738,Discount
BEL,Bharat Electronics Ltd,Industrials,17.89,-0.09337302073000636,56.305,37.93871275580532,Discount
BHEL,"Bharat Heavy Electricals Limited
",Industrials,29.8,-0.4410671269170658,35.98,63.195843494857385,Discount
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,0.05908701218425355,34.555,153.74292856203132,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,5.422883218663305,30.585,150.57445868316398,Caution
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,-3.9650923712808046,28.409999999999997,49.03621495327102,Discount
COALINDIA,Coal India Ltd,Materials,34.27,2.9991751112119767,33.22,61.61452714850773,Discount
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,0.00910553222430331,45.655,190.84331009077752,Caution
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,0.020845250072724943,12.379999999999999,24.925626859328517,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,0.4001945575069012,21.865000000000002,41.099855282199705,Discount
GAIL,GAIL (India) Ltd,Energy,25.84,0.28461990353382827,28.259999999999998,57.09235528060097,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,-0.10280184353453976,37.19,65.92737978410207,Discount
GRASIM,Grasim Industries Ltd,Industrials,79.35,-7.063967310949983,47.49,168.27483829922593,Caution
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,0.06861811283803056,53.635,152.45467076662072,Caution
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,34.51,1.8482736240750641,21.805,67.73307163886162,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,0.006574879059013327,44.31,60.835280373831765,Discount
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,0.9056027172386589,53.7,200.57887120115777,Caution
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,-0.9664534641259643,56.0,26.255841121495326,Discount
INFY,Infosys Ltd,Information Technology,35.99,1.808627454139422,34.31,56.56137042275656,Discount
IOC,"Indian Oil Corporation
",Energy,28.61,2.794810104975634,49.11,63.21254971277066,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,0.05299874823631171,45.585,159.03170635442703,Caution
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,0.3019460457018293,36.519999999999996,28.650700934579437,Discount
JSWENERGY,JSW Energy Ltd,Utilities,24.79,-1.7705336124937798,37.545,55.62037244783487,Discount
LT,Larsen & Toubro Ltd,Industrials,30.8,1.8179837675257147,24.09,65.31650938394657,Discount
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,14.22,-0.2694648852484086,43.58,37.41612945665044,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,20.78,0.3282212496887102,28.565,54.6770161820813,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,9.54,0.6329063689949501,31.5,25.10196026838574,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,32.88,-0.026604025891463663,34.885000000000005,68.03227808814401,Discount
NHPC,"NHPC Ltd
",Utilities,71.17,0.05573417784977254,59.83,159.68140004487324,Caution
NTPC,NTPC Ltd,Utilities,30.8,0.9521678733206076,44.12,69.1047789993269,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,10.781545408672736,44.31,40.10163499779054,Discount
PIDILITIND,Pidilite Industries Ltd,Materials,36.12,0.588510137595519,37.114999999999995,64.94066882416398,Discount
PNB,Punjab National Bank,Financials,19.29,-1.6126067787208855,20.58,56.3376168224299,Discount
SBILIFE,SBI Life Insurance Company Ltd,Financials,69.98,-0.23688132542403253,54.025,204.3808411214953,Caution
SBIN,State Bank of India,Financials,54.93,0.7563625783740417,50.985,160.42640186915887,Caution
SHREECEM,Shree Cement Ltd,Materials,25.87,0.06115348347250073,33.97,46.51204602660914,Discount
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,68.53,-3.608906905151208,47.260000000000005,200.14602803738316,Caution
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67.07,3.000651602734764,31.715000000000003,176.47677937113536,Caution
TATAPOWER,"Tata Power Company Ltd
",Utilities,14.5,0.2166615750083587,23.509999999999998,32.53309400942338,Discount
TITAN,"Titan Company Ltd
",Consumer Discretionary,10.13,0.0839572651499547,27.58,26.654387580581503,Discount
TRENT,Trent Ltd,Consumer Discretionary,8.65,0.14720244295143942,67.02,22.76016313642942,Discount
